step,train_loss,train_accuracy,valid_loss,valid_mean_token_accuracy
802,0.10993,0.9513,,
803,0.1346,0.93448,,
804,0.1272,0.93974,,
805,0.10293,0.95017,,
806,0.14841,0.92529,,
807,0.10524,0.93699,,
808,0.09965,0.94971,,
809,0.13336,0.93176,,
810,0.10011,0.96174,,
811,0.13514,0.93479,,
812,0.13273,0.93586,,
813,0.12346,0.94146,,
814,0.1338,0.93063,,
815,0.09253,0.95827,,
816,0.11788,0.95315,,
817,0.11531,0.94157,,
818,0.11485,0.94028,,
819,0.13279,0.92575,,
820,0.11161,0.9502,,
821,0.10121,0.94512,,
822,0.1089,0.94064,,
823,0.11096,0.94162,,
824,0.1454,0.93013,,
825,0.08462,0.96815,,
826,0.12103,0.93494,,
827,0.1458,0.93005,,
828,0.10728,0.96119,,
829,0.10278,0.94506,,
830,0.12723,0.92893,,
831,0.14644,0.91615,,
832,0.09035,0.94644,,
833,0.09936,0.95815,,
834,0.11939,0.94116,,
835,0.14155,0.93835,,
836,0.12409,0.945,,
837,0.09417,0.95524,,
838,0.11707,0.93823,,
839,0.11788,0.93212,,
840,0.10228,0.94674,,
841,0.14841,0.93673,,
842,0.09173,0.95238,,
843,0.10487,0.94628,,
844,0.11226,0.94671,,
845,0.10121,0.95093,,
846,0.10833,0.94328,,
847,0.11103,0.96245,,
848,0.14547,0.94805,,
849,0.11071,0.96118,,
850,0.12242,0.94038,,
851,0.08745,0.95295,,
852,0.12318,0.94903,,
853,0.13553,0.93181,,
854,0.10757,0.94725,,
855,0.15938,0.91226,,
856,0.18247,0.91684,,
857,0.11478,0.9566,,
858,0.11334,0.93368,,
859,0.1087,0.95744,,
860,0.17972,0.90959,,
861,0.11884,0.9498,,
862,0.12451,0.94203,,
863,0.13739,0.93163,,
864,0.13082,0.94445,,
865,0.15465,0.9245,,
866,0.14931,0.93294,,
867,0.12804,0.92209,,
868,0.13725,0.94522,,
869,0.14849,0.90954,,
870,0.10405,0.95221,,
871,0.15678,0.93502,,
872,0.10072,0.9595,,
873,0.14677,0.93223,,
874,0.1038,0.94246,,
875,0.12322,0.94679,,
876,0.10707,0.94636,,
877,0.10961,0.9368,,
878,0.13055,0.94485,,
879,0.14016,0.9127,,
880,0.10899,0.94491,,
881,0.08474,0.96551,,
882,0.17388,0.91083,,
883,0.10373,0.94579,,
884,0.10345,0.95375,,
885,0.08444,0.96618,,
886,0.09844,0.95386,,
887,0.12915,0.95023,,
888,0.12666,0.9236,,
889,0.1212,0.95087,,
890,0.08001,0.96092,,
891,0.13028,0.93533,,
892,0.15073,0.92907,,
893,0.12034,0.94347,,
894,0.10436,0.95208,,
895,0.11174,0.95385,,
896,0.10976,0.95846,,
897,0.06616,0.96043,,
898,0.11196,0.95238,,
899,0.10092,0.94854,,
900,0.11078,0.9491,,
901,0.11495,0.94136,0.1161,0.69479
902,0.12711,0.93573,,
903,0.0901,0.96572,,
904,0.14721,0.92443,,
905,0.12122,0.93367,,
906,0.19924,0.90708,,
907,0.11243,0.94313,,
908,0.12253,0.93283,,
909,0.12039,0.94742,,
910,0.11332,0.95657,,
911,0.13775,0.92269,,
912,0.1189,0.93843,,
913,0.09827,0.94705,,
914,0.11846,0.94677,,
915,0.11043,0.94246,,
916,0.13999,0.91915,,
917,0.12493,0.93624,,
918,0.11651,0.95074,,
919,0.09382,0.96999,,
920,0.13183,0.92924,,
921,0.13584,0.93197,,
922,0.09153,0.95921,,
923,0.10151,0.95202,,
924,0.14671,0.93676,,
925,0.09295,0.95516,,
926,0.14333,0.92415,,
927,0.09073,0.94545,,
928,0.12441,0.93453,,
929,0.14207,0.94658,,
930,0.11735,0.95685,,
931,0.09624,0.9413,,
932,0.11871,0.95081,,
933,0.11137,0.93843,,
934,0.13116,0.93546,,
935,0.09095,0.95686,,
936,0.11952,0.93658,,
937,0.14229,0.9272,,
938,0.11146,0.95435,,
939,0.1258,0.94067,,
940,0.08767,0.9564,,
941,0.11308,0.95596,,
942,0.12754,0.92774,,
943,0.13732,0.92733,,
944,0.09902,0.94473,,
945,0.13015,0.93787,,
946,0.12364,0.93529,,
947,0.09034,0.95338,,
948,0.11168,0.94388,,
949,0.09205,0.95882,,
950,0.14873,0.91282,,
951,0.11982,0.93151,,
952,0.10492,0.94246,,
953,0.10968,0.94837,,
954,0.14493,0.9274,,
955,0.10635,0.94275,,
956,0.09925,0.94071,,
957,0.10303,0.9502,,
958,0.10822,0.93828,,
959,0.12743,0.9362,,
960,0.15285,0.93442,,
961,0.10791,0.94543,,
962,0.11868,0.93236,,
963,0.13863,0.92756,,
964,0.13675,0.93646,,
965,0.07594,0.97524,,
966,0.11484,0.93991,,
967,0.08939,0.9543,,
968,0.11132,0.95989,,
969,0.09707,0.95133,,
970,0.09641,0.95806,,
971,0.13366,0.93883,,
972,0.08986,0.95223,,
973,0.13218,0.94315,,
974,0.12918,0.92578,,
975,0.13214,0.93674,,
976,0.08976,0.9654,,
977,0.13668,0.94059,,
978,0.12499,0.94182,,
